Location No,User Count,Subnet Mask,Network IP,First IP,Last IP,Broadcast IP,Next Network IP,Block Size
25,24,/24,192.168.29.0,192.168.29.1,192.168.29.254,192.168.29.255,192.168.30.0,256
26,480,/23,192.168.30.0,192.168.30.1,192.168.31.254,192.168.31.255,192.168.32.0,512
27,168,/24,192.168.32.0,192.168.32.1,192.168.32.254,192.168.32.255,192.168.33.0,256
28,288,/23,192.168.32.0,192.168.32.1,192.168.33.254,192.168.33.255,192.168.34.0,512
29,144,/24,192.168.34.0,192.168.34.1,192.168.34.254,192.168.34.255,192.168.35.0,256
30,72,/24,192.168.35.0,192.168.35.1,192.168.35.254,192.168.35.255,192.168.36.0,256
31,48,/24,192.168.36.0,192.168.36.1,192.168.36.254,192.168.36.255,192.168.37.0,256
32,96,/24,192.168.37.0,192.168.37.1,192.168.37.254,192.168.37.255,192.168.38.0,256
33,288,/23,192.168.38.0,192.168.38.1,192.168.39.254,192.168.39.255,192.168.40.0,512
34,24,/24,192.168.40.0,192.168.40.1,192.168.40.254,192.168.40.255,192.168.41.0,256
35,48,/24,192.168.41.0,192.168.41.1,192.168.41.254,192.168.41.255,192.168.42.0,256
36,576,/22,192.168.40.0,192.168.40.1,192.168.43.254,192.168.43.255,192.168.44.0,1024
37,96,/24,192.168.44.0,192.168.44.1,192.168.44.254,192.168.44.255,192.168.45.0,256
38,72,/24,192.168.45.0,192.168.45.1,192.168.45.254,192.168.45.255,192.168.46.0,256
39,216,/24,192.168.46.0,192.168.46.1,192.168.46.254,192.168.46.255,192.168.47.0,256
40,120,/24,192.168.47.0,192.168.47.1,192.168.47.254,192.168.47.255,192.168.48.0,256
41,120,/24,192.168.48.0,192.168.48.1,192.168.48.254,192.168.48.255,192.168.49.0,256
42,24,/24,192.168.49.0,192.168.49.1,192.168.49.254,192.168.49.255,192.168.50.0,256
43,336,/23,192.168.50.0,192.168.50.1,192.168.51.254,192.168.51.255,192.168.52.0,512
44,120,/24,192.168.52.0,192.168.52.1,192.168.52.254,192.168.52.255,192.168.53.0,256
45,120,/24,192.168.53.0,192.168.53.1,192.168.53.254,192.168.53.255,192.168.54.0,256
46,96,/24,192.168.54.0,192.168.54.1,192.168.54.254,192.168.54.255,192.168.55.0,256
47,264,/23,192.168.54.0,192.168.54.1,192.168.55.254,192.168.55.255,192.168.56.0,512
48,96,/24,192.168.56.0,192.168.56.1,192.168.56.254,192.168.56.255,192.168.57.0,256
49,24,/24,192.168.57.0,192.168.57.1,192.168.57.254,192.168.57.255,192.168.58.0,256
50,96,/24,192.168.58.0,192.168.58.1,192.168.58.254,192.168.58.255,192.168.59.0,256
51,192,/24,192.168.59.0,192.168.59.1,192.168.59.254,192.168.59.255,192.168.60.0,256
52,24,/24,192.168.60.0,192.168.60.1,192.168.60.254,192.168.60.255,192.168.61.0,256
53,216,/24,192.168.61.0,192.168.61.1,192.168.61.254,192.168.61.255,192.168.62.0,256
54,24,/24,192.168.62.0,192.168.62.1,192.168.62.254,192.168.62.255,192.168.63.0,256
55,144,/24,192.168.63.0,192.168.63.1,192.168.63.254,192.168.63.255,192.168.64.0,256
56,120,/24,192.168.64.0,192.168.64.1,192.168.64.254,192.168.64.255,192.168.65.0,256
57,96,/24,192.168.65.0,192.168.65.1,192.168.65.254,192.168.65.255,192.168.66.0,256
58,24,/24,192.168.66.0,192.168.66.1,192.168.66.254,192.168.66.255,192.168.67.0,256
59,48,/24,192.168.67.0,192.168.67.1,192.168.67.254,192.168.67.255,192.168.68.0,256
60,72,/24,192.168.68.0,192.168.68.1,192.168.68.254,192.168.68.255,192.168.69.0,256
61,48,/24,192.168.69.0,192.168.69.1,192.168.69.254,192.168.69.255,192.168.70.0,256
62,24,/24,192.168.70.0,192.168.70.1,192.168.70.254,192.168.70.255,192.168.71.0,256
63,72,/24,192.168.71.0,192.168.71.1,192.168.71.254,192.168.71.255,192.168.72.0,256
64,288,/23,192.168.72.0,192.168.72.1,192.168.73.254,192.168.73.255,192.168.74.0,512
65,24,/24,192.168.74.0,192.168.74.1,192.168.74.254,192.168.74.255,192.168.75.0,256
66,24,/24,192.168.75.0,192.168.75.1,192.168.75.254,192.168.75.255,192.168.76.0,256
67,24,/24,192.168.76.0,192.168.76.1,192.168.76.254,192.168.76.255,192.168.77.0,256
68,24,/24,192.168.77.0,192.168.77.1,192.168.77.254,192.168.77.255,192.168.78.0,256
69,24,/24,192.168.78.0,192.168.78.1,192.168.78.254,192.168.78.255,192.168.79.0,256
70,24,/24,192.168.79.0,192.168.79.1,192.168.79.254,192.168.79.255,192.168.80.0,256
71,24,/24,192.168.80.0,192.168.80.1,192.168.80.254,192.168.80.255,192.168.81.0,256
72,144,/24,192.168.81.0,192.168.81.1,192.168.81.254,192.168.81.255,192.168.82.0,256
73,48,/24,192.168.82.0,192.168.82.1,192.168.82.254,192.168.82.255,192.168.83.0,256
74,96,/24,192.168.83.0,192.168.83.1,192.168.83.254,192.168.83.255,192.168.84.0,256
75,24,/24,192.168.84.0,192.168.84.1,192.168.84.254,192.168.84.255,192.168.85.0,256
76,24,/24,192.168.85.0,192.168.85.1,192.168.85.254,192.168.85.255,192.168.86.0,256
77,24,/24,192.168.86.0,192.168.86.1,192.168.86.254,192.168.86.255,192.168.87.0,256
78,48,/24,192.168.87.0,192.168.87.1,192.168.87.254,192.168.87.255,192.168.88.0,256
79,24,/24,192.168.88.0,192.168.88.1,192.168.88.254,192.168.88.255,192.168.89.0,256
80,24,/24,192.168.89.0,192.168.89.1,192.168.89.254,192.168.89.255,192.168.90.0,256
